id,palabra,frecuencia,categoria,fecha,periodo,score_trending
806,said,1,Espectáculos,2025-09-14T14:01:40.425893,diario,0.0
807,inesperado,1,Espectáculos,2025-09-14T14:01:40.512865,diario,0.0
808,importante,1,Espectáculos,2025-09-14T14:01:40.518126,diario,0.0
809,comparte,1,Espectáculos,2025-09-14T14:01:40.521834,diario,0.0
810,anunciar,1,Espectáculos,2025-09-14T14:01:40.525113,diario,0.0
811,perdido,1,Espectáculos,2025-09-14T14:01:40.528501,diario,0.0
812,cambio,1,Espectáculos,2025-09-14T14:01:40.532452,diario,0.0
813,mayra,1,Espectáculos,2025-09-14T14:01:40.536623,diario,0.0
814,couto,1,Espectáculos,2025-09-14T14:01:40.540908,diario,0.0
815,video,1,Espectáculos,2025-09-14T14:01:40.546856,diario,0.0
816,vida,1,Espectáculos,2025-09-14T14:01:40.551180,diario,0.0
